project_name,url,topics
charlesq34/pointnet2,https://github.com/charlesq34/pointnet2.git,"[['point-cloud', 'deep-learning', 'classification', 'segmentation', '3d-shape']]"
qq547276542/Agriculture_KnowledgeGraph,https://github.com/qq547276542/Agriculture_KnowledgeGraph.git,"[['knowledge-graph', 'named-entity-recognition', 'relation-extraction', 'question-answering']]"
r9y9/wavenet_vocoder,https://github.com/r9y9/wavenet_vocoder.git,"[['wavenet', 'speech-synthesis', 'speech-processing', 'pytorch', 'python', 'wavenet-vocoder', 'neural-vocoder', 'speech']]"
NifTK/NiftyNet,https://github.com/NifTK/NiftyNet.git,"[['tensorflow', 'distributed', 'ml', 'neural-network', 'python', 'python2', 'python3', 'pip', 'deep-neural-networks', 'deep-learning', 'convolutional-neural-networks', 'medical-imaging', 'medical-image-computing', 'medical-image-processing', 'medical-images', 'segmentation', 'gan', 'autoencoder', 'medical-image-analysis', 'image-guided-therapy']]"
kenshohara/3D-ResNets-PyTorch,https://github.com/kenshohara/3D-ResNets-PyTorch.git,"[['deep-learning', 'computer-vision', 'pytorch', 'python', 'action-recognition', 'video-recognition']]"
kkroening/ffmpeg-python,https://github.com/kkroening/ffmpeg-python.git,[[]]
Microsoft/human-pose-estimation.pytorch,https://github.com/Microsoft/human-pose-estimation.pytorch.git,"[['human-pose-estimation', 'deep-learning', 'coco-keypoints-detection', 'mpii-dataset', 'mscoco-keypoint']]"
layumi/Person_reID_baseline_pytorch,https://github.com/layumi/Person_reID_baseline_pytorch.git,"[['open-reid', 'pytorch', 'person-reidentification', 'image-retrieval', 'person-reid', 're-ranking', 'random-erasing', 'image-search', 'market-1501', 'dukemtmc', 'dukemtmc-reid', 'tutorial', 'apex', 'baseline', 'msmt17', 'cuhk-np', 'vehicle-reid', 'awesome-list', 'gait-recognition', 'circle-loss']]"
openai/finetune-transformer-lm,https://github.com/openai/finetune-transformer-lm.git,[['paper']]
asyml/texar,https://github.com/asyml/texar.git,"[['machine-learning', 'natural-language-processing', 'tensorflow', 'deep-learning', 'text-generation', 'python', 'machine-translation', 'dialog-systems', 'texar', 'bert', 'gpt-2', 'xlnet', 'text-data', 'data-processing', 'casl-project']]"
google-research/batch-ppo,https://github.com/google-research/batch-ppo.git,"[['reinforcement-learning', 'tensorflow', 'multi-processing', 'artificial-intelligence', 'python', 'vectorized-computation', 'control']]"
numenta/NAB,https://github.com/numenta/NAB.git,[[]]
crownpku/Information-Extraction-Chinese,https://github.com/crownpku/Information-Extraction-Chinese.git,"[['nlp', 'chinese-nlp', 'information-extraction', 'relation-extraction', 'named-entity-recognition']]"
bethgelab/foolbox,https://github.com/bethgelab/foolbox.git,"[['adversarial-examples', 'machine-learning', 'python', 'adversarial-attacks', 'pytorch', 'tensorflow', 'jax', 'keras']]"
cornellius-gp/gpytorch,https://github.com/cornellius-gp/gpytorch.git,"[['pytorch', 'gaussian-processes', 'gpu-acceleration']]"
jiesutd/NCRFpp,https://github.com/jiesutd/NCRFpp.git,"[['pytorch', 'ner', 'sequence-labeling', 'crf', 'lstm-crf', 'char-rnn', 'char-cnn', 'named-entity-recognition', 'part-of-speech-tagger', 'chunking', 'neural-networks', 'nbest', 'lstm', 'cnn', 'natural-language-processing', 'artificial-intelligence']]"
facebookresearch/SentEval,https://github.com/facebookresearch/SentEval.git,[[]]
joeddav/devol,https://github.com/joeddav/devol.git,"[['deep-learning', 'genetic-algorithm', 'machine-learning', 'keras', 'automl', 'neural-architecture-search', 'computer-vision']]"
Cloud-CV/Fabrik,https://github.com/Cloud-CV/Fabrik.git,"[['neural-network', 'visualization', 'ide', 'caffe', 'keras', 'tensorflow']]"
facebookresearch/poincare-embeddings,https://github.com/facebookresearch/poincare-embeddings.git,[[]]
pytorch/tnt,https://github.com/pytorch/tnt.git,"[['pytorch', 'neural-network', 'python', 'machine-learning', 'deep-learning', 'visdom', 'reinforcement-learning']]"
p4-team/ctf,https://github.com/p4-team/ctf.git,"[['capture-the-flag', 'ctf', 'security', 'writeup']]"
datitran/object_detector_app,https://github.com/datitran/object_detector_app.git,"[['tensorflow', 'opencv']]"
JasonKessler/scattertext,https://github.com/JasonKessler/scattertext.git,"[['nlp', 'd3', 'word-embeddings', 'machine-learning', 'natural-language-processing', 'visualization', 'word2vec', 'text-visualization', 'text-mining', 'japanese-language', 'computational-social-science', 'sentiment', 'eda', 'exploratory-data-analysis', 'text-as-data', 'scatter-plot', 'topic-modeling', 'stylometry', 'stylometric', 'semiotic-squares']]"
CSTR-Edinburgh/merlin,https://github.com/CSTR-Edinburgh/merlin.git,"[['merlin', 'speech-synthesis', 'text-to-speech', 'voice-conversion', 'deep-learning', 'python', 'theano', 'tensorflow', 'keras']]"
scikit-learn-contrib/categorical-encoding,https://github.com/scikit-learn-contrib/categorical-encoding.git,[[]]
GoogleCloudPlatform/cloudml-samples,https://github.com/GoogleCloudPlatform/cloudml-samples.git,"[['cloudml', 'cloudml-samples', 'keras-tensorflow', 'keras', 'gcp']]"
bfortuner/ml-cheatsheet,https://github.com/bfortuner/ml-cheatsheet.git,"[['machine-learning', 'cheatsheets', 'neural-network', 'deep-learning', 'deep-learning-tutorial', 'data-science']]"
mrharicot/monodepth,https://github.com/mrharicot/monodepth.git,[[]]
dask/distributed,https://github.com/dask/distributed.git,"[['pydata', 'dask', 'distributed-computing', 'python']]"
SullyChen/Autopilot-TensorFlow,https://github.com/SullyChen/Autopilot-TensorFlow.git,[[]]
tkipf/pygcn,https://github.com/tkipf/pygcn.git,[[]]
CamDavidsonPilon/lifelines,https://github.com/CamDavidsonPilon/lifelines.git,"[['survival-analysis', 'python', 'statistics', 'data-science', 'maximum-likelihood', 'reliability-analysis', 'cox-regression']]"
NVIDIA/sentiment-discovery,https://github.com/NVIDIA/sentiment-discovery.git,[[]]
HyperGAN/HyperGAN,https://github.com/HyperGAN/HyperGAN.git,"[['gan', 'unsupervised-learning', 'generative-adversarial-network', 'artificial-intelligence', 'machine-learning', 'machine-learning-api', 'python', 'online-learning', 'computer-vision', 'pytorch', 'sponsors', 'hypergan']]"
alfredfrancis/ai-chatbot-framework,https://github.com/alfredfrancis/ai-chatbot-framework.git,"[['chatbot', 'python', 'nltk', 'ai', 'sklearn', 'natural-language', 'conversation', 'chatbots', 'ai-chatbot-framework']]"
mne-tools/mne-python,https://github.com/mne-tools/mne-python.git,"[['python', 'neuroscience', 'electroencephalography', 'magnetoencephalography', 'electrocorticography', 'machine-learning', 'statistics', 'visualization', 'eeg', 'meg', 'ecog', 'neuroimaging']]"
SheffieldML/GPy,https://github.com/SheffieldML/GPy.git,[[]]
KaiyangZhou/deep-person-reid,https://github.com/KaiyangZhou/deep-person-reid.git,"[['deep-learning', 'pytorch', 'computer-vision', 'machine-learning', 'deep-neural-networks', 'person-reidentification']]"
DLTK/DLTK,https://github.com/DLTK/DLTK.git,"[['deep-learning', 'machine-learning', 'neural-networks', 'tensorflow', 'medical-imaging', 'data-science', 'ml', 'deep-neural-networks', 'python', 'medical', 'dltk', 'dltk-model-zoo', 'neural-network', 'neuroimaging', 'cnn', 'medical-image-processing']]"
pgmpy/pgmpy,https://github.com/pgmpy/pgmpy.git,"[['python', 'probabilistic-graphical-models', 'bayesian-networks', 'causal-inference', 'statistics', 'statistical-inference', 'structure-learning']]"
rusty1s/pytorch_geometric,https://github.com/rusty1s/pytorch_geometric.git,"[['pytorch', 'geometric-deep-learning', 'graph-neural-networks']]"
jakeret/tf_unet,https://github.com/jakeret/tf_unet.git,"[['image-segmentation', 'neural-network', 'deep-learning', 'tensorflow']]"
mpatacchiola/deepgaze,https://github.com/mpatacchiola/deepgaze.git,"[['convolutional-neural-networks', 'motion-tracking', 'color-detection', 'face-detection', 'skin-detection', 'motion-detection', 'head-pose-estimation', 'human-computer-interaction', 'histogram-comparison', 'histogram-intersection', 'cnn', 'particle-filter', 'saliency-map']]"
hyperopt/hyperopt-sklearn,https://github.com/hyperopt/hyperopt-sklearn.git,[[]]
dnouri/nolearn,https://github.com/dnouri/nolearn.git,"[['scikit-learn', 'lasagne', 'deep-learning', 'machine-learning']]"
r9y9/deepvoice3_pytorch,https://github.com/r9y9/deepvoice3_pytorch.git,"[['tts', 'speech-synthesis', 'end-to-end', 'speech-processing', 'machine-learning', 'pytorch', 'python', 'multi-speaker']]"
tf-coreml/tf-coreml,https://github.com/tf-coreml/tf-coreml.git,[[]]
chrischoy/3D-R2N2,https://github.com/chrischoy/3D-R2N2.git,[[]]
